sleep_hours,study_hours,screen_time_hours,social_media_hours,physical_activity_minutes,caffeine_intake_mg,mood_score,fatigue_level,assignment_load,deadline_pressure,social_interaction_score,financial_worry_score,health_condition_score,stress_level
7.23,1.93,5.78,3.81,13,160,4,7,5,4,6,2,5,Medium
7.1,2.7,7.88,3.78,21,105,6,5,9,6,4,5,4,Medium
6.56,3.24,8.65,4.78,23,123,6,6,5,5,8,2,6,Medium
7.17,2.37,8.52,5.34,36,91,3,7,6,7,7,3,5,Medium
7.6,5.2,7.43,4.82,29,103,6,6,7,9,2,5,6,Medium
6.88,3.94,5.52,4.03,29,230,6,5,6,5,7,3,7,Medium
7.14,4.82,6.8,3.96,20,156,4,6,7,7,4,4,6,Medium
6.55,3.69,7.91,5.4,27,157,5,6,7,4,10,4,6,Medium
7.05,2.68,8.65,4.66,34,87,7,7,9,4,5,3,6,Medium
7.1,1.5,7.98,3.98,30,86,6,6,9,5,5,5,8,Medium
6.38,3.23,8.17,5.18,10,62,4,7,7,7,6,5,6,Medium
6.61,5.71,7.98,3.4,33,156,6,5,8,8,7,5,8,Medium
6.91,3.09,6.62,3.64,24,156,6,6,7,8,6,8,7,Medium
6.52,2.78,7.99,4.03,23,170,5,4,7,5,8,5,5,Medium
7.19,4.23,6.62,4.27,25,73,5,7,7,7,4,3,6,Medium
7.41,4.36,11.36,4.54,38,199,3,7,8,6,6,4,6,Medium
8.93,1.18,8.59,3.62,19,207,6,4,7,5,6,5,7,Medium
7.0,5.19,8.54,3.35,27,156,5,6,8,5,8,2,6,Medium
6.76,3.19,9.27,4.43,10,196,4,5,10,8,8,3,7,Medium
7.58,2.92,7.45,2.06,12,126,4,4,5,9,7,6,5,Medium
7.83,3.86,6.53,4.47,27,105,6,5,7,6,9,2,9,Medium
5.8,3.7,8.1,4.35,17,129,4,8,6,6,5,6,6,Medium
7.6,4.48,6.68,3.81,23,178,3,7,7,7,7,4,6,Medium
8.14,3.87,8.72,5.52,25,182,5,5,6,7,8,3,9,Medium
6.77,1.83,9.06,5.19,32,179,4,6,7,5,9,4,5,Medium
6.86,4.26,6.94,6.94,28,156,3,6,6,6,4,3,6,Medium
7.27,5.32,8.36,4.07,24,81,3,6,7,6,7,7,6,Medium
7.33,4.54,7.11,4.32,25,147,6,6,6,6,8,7,5,Medium
7.09,5.83,10.7,3.45,23,165,4,7,6,8,6,7,7,Medium
6.15,4.75,9.0,3.11,40,272,3,9,8,6,8,2,5,Medium
6.88,4.89,8.46,4.88,5,193,2,8,9,9,4,6,6,High
6.39,6.4,9.02,5.24,19,325,4,9,10,8,9,3,6,High
