id,user_id,week_start,week_end,average_stress_score,average_sleep_hours,average_screen_time,average_study_hours,high_stress_days,dominant_stress_level,stress_trend,main_trigger,created_at
1,1,2026-01-01,2026-01-07,52.92,7.1,7.23,3.46,0,Medium,Stable,Low Mood,2026-01-07 21:00:00
2,1,2026-01-08,2026-01-14,49.64,6.73,7.9,3.24,0,Medium,Stable,Academic Pressure,2026-01-14 21:00:00
3,1,2026-01-15,2026-01-21,50.77,7.53,8.34,3.56,0,Medium,Stable,Academic Pressure,2026-01-21 21:00:00
4,1,2026-01-22,2026-01-28,56.57,7.11,7.85,4.0,0,Medium,Decreasing,Low Mood,2026-01-28 21:00:00
5,1,2026-01-29,2026-02-04,67.72,6.63,8.76,4.89,3,Medium,Stable,Academic Pressure,2026-02-04 21:00:00
6,1,2026-02-05,2026-02-11,57.33,7.01,7.49,3.43,0,Medium,Stable,Academic Pressure,2026-02-11 21:00:00
7,1,2026-02-12,2026-02-18,48.75,7.55,7.4,3.81,0,Medium,Stable,Academic Pressure,2026-02-18 21:00:00
8,1,2026-02-19,2026-02-25,53.11,7.35,7.58,3.69,0,Medium,Decreasing,Academic Pressure,2026-02-25 21:00:00
9,1,2026-02-26,2026-03-04,60.94,7.16,7.33,3.58,0,Medium,Stable,Academic Pressure,2026-03-04 21:00:00
10,1,2026-03-05,2026-03-11,55.18,7.41,7.91,3.43,1,Medium,Increasing,Academic Pressure,2026-03-11 21:00:00
11,1,2026-03-12,2026-03-18,67.48,6.88,8.91,5.07,4,High,Stable,Academic Pressure,2026-03-18 21:00:00
12,1,2026-03-19,2026-03-25,55.27,7.21,7.86,4.46,0,Medium,Stable,Academic Pressure,2026-03-25 21:00:00
13,2,2026-01-01,2026-01-07,53.33,8.0,5.4,2.12,0,Medium,Stable,Academic Pressure,2026-01-07 21:00:00
14,2,2026-01-08,2026-01-14,50.26,7.49,4.42,2.14,0,Medium,Decreasing,Low Mood,2026-01-14 21:00:00
15,2,2026-01-15,2026-01-21,54.56,7.47,5.53,2.93,0,Medium,Increasing,Academic Pressure,2026-01-21 21:00:00
16,2,2026-01-22,2026-01-28,54.82,7.92,5.39,2.51,0,Medium,Increasing,Academic Pressure,2026-01-28 21:00:00
17,2,2026-01-29,2026-02-04,63.31,7.13,6.22,3.5,2,Medium,Stable,Academic Pressure,2026-02-04 21:00:00
18,2,2026-02-05,2026-02-11,50.83,8.06,5.36,2.45,0,Medium,Stable,Academic Pressure,2026-02-11 21:00:00
19,2,2026-02-12,2026-02-18,53.84,7.68,5.5,1.74,0,Medium,Increasing,Academic Pressure,2026-02-18 21:00:00
20,2,2026-02-19,2026-02-25,50.88,7.91,6.05,1.86,0,Medium,Decreasing,Low Mood,2026-02-25 21:00:00
21,2,2026-02-26,2026-03-04,52.74,7.69,4.59,2.53,0,Medium,Stable,Academic Pressure,2026-03-04 21:00:00
22,2,2026-03-05,2026-03-11,55.01,7.21,5.03,2.18,0,Medium,Stable,Academic Pressure,2026-03-11 21:00:00
23,2,2026-03-12,2026-03-18,67.3,6.94,5.89,4.39,3,Medium,Stable,Academic Pressure,2026-03-18 21:00:00
24,2,2026-03-19,2026-03-25,57.38,7.38,5.95,1.99,0,Medium,Decreasing,Low Mood,2026-03-25 21:00:00
25,3,2026-01-01,2026-01-07,53.61,6.07,5.29,2.1,0,Medium,Decreasing,Sleep Deficit,2026-01-07 21:00:00
26,3,2026-01-08,2026-01-14,48.18,6.84,4.65,2.13,0,Medium,Stable,Low Mood,2026-01-14 21:00:00
27,3,2026-01-15,2026-01-21,55.94,6.48,4.88,2.04,0,Medium,Decreasing,Low Mood,2026-01-21 21:00:00
28,3,2026-01-22,2026-01-28,48.53,6.74,5.51,1.82,0,Medium,Increasing,Academic Pressure,2026-01-28 21:00:00
29,3,2026-01-29,2026-02-04,71.72,5.42,6.05,2.84,5,High,Stable,Academic Pressure,2026-02-04 21:00:00
30,3,2026-02-05,2026-02-11,53.36,6.47,5.65,2.04,0,Medium,Stable,Low Mood,2026-02-11 21:00:00
31,3,2026-02-12,2026-02-18,49.35,6.53,5.17,2.18,0,Medium,Stable,Financial Worry,2026-02-18 21:00:00
32,3,2026-02-19,2026-02-25,54.02,5.87,5.13,1.67,0,Medium,Stable,Academic Pressure,2026-02-25 21:00:00
33,3,2026-02-26,2026-03-04,54.54,6.23,4.9,1.79,0,Medium,Increasing,Low Mood,2026-03-04 21:00:00
34,3,2026-03-05,2026-03-11,50.62,6.62,5.6,2.53,0,Medium,Increasing,High Fatigue,2026-03-11 21:00:00
35,3,2026-03-12,2026-03-18,59.81,5.88,5.97,3.69,0,Medium,Stable,Academic Pressure,2026-03-18 21:00:00
36,3,2026-03-19,2026-03-25,50.52,6.44,6.21,2.39,0,Medium,Stable,Stable Routine,2026-03-25 21:00:00
37,4,2026-01-01,2026-01-07,61.17,6.29,7.26,2.18,0,Medium,Stable,Low Mood,2026-01-07 21:00:00
38,4,2026-01-08,2026-01-14,53.65,6.7,6.89,2.49,0,Medium,Stable,Academic Pressure,2026-01-14 21:00:00
39,4,2026-01-15,2026-01-21,59.11,5.96,6.67,1.96,0,Medium,Stable,Low Mood,2026-01-21 21:00:00
40,4,2026-01-22,2026-01-28,56.11,6.68,7.41,1.91,1,Medium,Stable,Academic Pressure,2026-01-28 21:00:00
41,4,2026-01-29,2026-02-04,76.68,5.57,8.51,3.84,5,High,Stable,Academic Pressure,2026-02-04 21:00:00
42,4,2026-02-05,2026-02-11,58.63,6.26,7.65,2.09,0,Medium,Decreasing,Academic Pressure,2026-02-11 21:00:00
43,4,2026-02-12,2026-02-18,56.59,6.53,7.59,1.75,0,Medium,Decreasing,Low Mood,2026-02-18 21:00:00
44,4,2026-02-19,2026-02-25,55.1,6.13,7.01,2.2,0,Medium,Stable,Academic Pressure,2026-02-25 21:00:00
45,4,2026-02-26,2026-03-04,60.24,5.77,7.44,2.0,0,Medium,Increasing,Low Mood,2026-03-04 21:00:00
46,4,2026-03-05,2026-03-11,59.29,6.81,7.21,2.36,0,Medium,Stable,Low Mood,2026-03-11 21:00:00
47,4,2026-03-12,2026-03-18,72.95,5.72,8.04,3.65,4,High,Decreasing,Academic Pressure,2026-03-18 21:00:00
48,4,2026-03-19,2026-03-25,65.26,5.86,7.11,2.6,3,Medium,Stable,Low Mood,2026-03-25 21:00:00
49,5,2026-01-01,2026-01-07,53.63,6.7,5.69,4.9,0,Medium,Stable,Low Physical Activity,2026-01-07 21:00:00
50,5,2026-01-08,2026-01-14,54.94,6.7,6.02,5.14,0,Medium,Increasing,Low Mood,2026-01-14 21:00:00
51,5,2026-01-15,2026-01-21,51.14,7.12,6.71,5.19,0,Medium,Stable,Academic Pressure,2026-01-21 21:00:00
52,5,2026-01-22,2026-01-28,52.56,6.85,5.71,5.7,0,Medium,Increasing,Academic Pressure,2026-01-28 21:00:00
53,5,2026-01-29,2026-02-04,67.23,6.1,6.44,6.48,3,Medium,Decreasing,Academic Pressure,2026-02-04 21:00:00
54,5,2026-02-05,2026-02-11,55.37,7.03,6.17,5.89,0,Medium,Stable,Low Mood,2026-02-11 21:00:00
55,5,2026-02-12,2026-02-18,53.81,7.04,5.35,4.08,0,Medium,Stable,Low Mood,2026-02-18 21:00:00
56,5,2026-02-19,2026-02-25,50.82,6.78,5.72,4.83,0,Medium,Increasing,Low Mood,2026-02-25 21:00:00
57,5,2026-02-26,2026-03-04,53.16,6.97,5.87,4.59,0,Medium,Increasing,Low Mood,2026-03-04 21:00:00
58,5,2026-03-05,2026-03-11,51.43,7.02,5.44,5.03,0,Medium,Increasing,Low Mood,2026-03-11 21:00:00
59,5,2026-03-12,2026-03-18,63.35,6.48,7.13,6.2,3,Medium,Stable,Academic Pressure,2026-03-18 21:00:00
60,5,2026-03-19,2026-03-25,56.07,6.23,5.64,5.02,0,Medium,Stable,Low Mood,2026-03-25 21:00:00
61,6,2026-01-01,2026-01-07,49.98,7.36,8.2,2.59,0,Medium,Stable,High Screen Time,2026-01-07 21:00:00
62,6,2026-01-08,2026-01-14,52.64,7.2,8.8,2.46,0,Medium,Stable,High Screen Time,2026-01-14 21:00:00
63,6,2026-01-15,2026-01-21,45.99,7.4,7.99,2.65,0,Medium,Increasing,High Screen Time,2026-01-21 21:00:00
64,6,2026-01-22,2026-01-28,51.1,7.25,8.23,2.62,0,Medium,Stable,High Screen Time,2026-01-28 21:00:00
65,6,2026-01-29,2026-02-04,64.92,6.6,10.0,4.44,2,Medium,Stable,Academic Pressure,2026-02-04 21:00:00
