id,user_id,stress_prediction_id,weekly_summary_id,period_type,insight_text,created_at
1,1,1,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood + Low Physical Activity.,2026-01-02 00:01:00
2,1,2,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Health Issue.,2026-01-02 20:46:00
3,1,3,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Screen Time.,2026-01-03 20:52:00
4,1,4,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood + High Screen Time.,2026-01-05 00:59:00
5,1,5,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure.,2026-01-05 23:12:00
6,1,6,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Stable Routine.,2026-01-07 00:13:00
7,1,7,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood.,2026-01-07 20:07:00
8,1,8,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Stable Routine.,2026-01-08 22:42:00
9,1,9,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + High Screen Time.,2026-01-10 00:14:00
10,1,10,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure.,2026-01-10 19:49:00
11,1,11,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood + High Screen Time.,2026-01-12 00:50:00
12,1,12,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure.,2026-01-12 18:37:00
13,1,13,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Financial Worry.,2026-01-13 21:17:00
14,1,14,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Stable Routine.,2026-01-14 21:18:00
15,1,15,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Stable Routine.,2026-01-15 23:23:00
16,1,16,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Low Mood.,2026-01-16 20:44:00
17,1,17,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Screen Time.,2026-01-17 21:24:00
18,1,18,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + High Screen Time.,2026-01-18 19:12:00
19,1,19,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Low Mood.,2026-01-19 23:32:00
20,1,20,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Low Mood.,2026-01-20 21:37:00
21,1,21,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Stable Routine.,2026-01-21 19:21:00
22,1,22,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Fatigue + Low Mood.,2026-01-23 00:21:00
23,1,23,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood.,2026-01-23 23:55:00
24,1,24,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Screen Time.,2026-01-24 18:58:00
25,1,25,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood + High Screen Time.,2026-01-26 00:12:00
26,1,26,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood.,2026-01-26 23:56:00
27,1,27,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood + High Screen Time.,2026-01-27 21:46:00
28,1,28,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Stable Routine.,2026-01-28 20:15:00
29,1,29,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Low Mood.,2026-01-29 22:13:00
30,1,30,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + High Fatigue.,2026-01-30 20:40:00
31,1,31,,daily,Stress score hari ini tinggi karena faktor dominan: Academic Pressure + High Fatigue.,2026-01-31 21:47:00
32,1,32,,daily,Stress score hari ini tinggi karena faktor dominan: Academic Pressure + High Fatigue.,2026-02-02 00:33:00
33,1,33,,daily,Stress score hari ini tinggi karena faktor dominan: Academic Pressure + High Fatigue.,2026-02-02 23:01:00
34,1,34,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Low Mood.,2026-02-03 21:25:00
35,1,35,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Low Mood.,2026-02-05 00:11:00
36,1,36,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Low Mood.,2026-02-05 21:09:00
37,1,37,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Fatigue.,2026-02-06 18:43:00
38,1,38,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + High Fatigue.,2026-02-07 20:58:00
39,1,39,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Stable Routine.,2026-02-08 19:53:00
40,1,40,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Screen Time + Health Issue.,2026-02-09 23:28:00
41,1,41,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Low Mood.,2026-02-10 23:49:00
42,1,42,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Low Mood.,2026-02-11 18:53:00
43,1,43,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Low Mood.,2026-02-12 22:57:00
44,1,44,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Low Physical Activity.,2026-02-13 23:41:00
45,1,45,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Stable Routine.,2026-02-14 22:28:00
46,1,46,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + High Fatigue.,2026-02-15 20:59:00
47,1,47,,DAILY,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure.,2026-02-16 23:15:00
48,1,48,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Low Mood.,2026-02-17 22:50:00
49,1,49,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Stable Routine.,2026-02-19 00:08:00
50,1,50,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: High Screen Time + Low Physical Activity.,2026-02-19 20:20:00
51,1,51,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Low Mood.,2026-02-20 21:51:00
52,1,52,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood + High Screen Time.,2026-02-21 19:07:00
53,1,53,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Low Mood.,2026-02-22 20:43:00
54,1,54,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure.,2026-02-23 22:42:00
55,1,55,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Stable Routine.,2026-02-24 20:47:00
56,1,56,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Academic Pressure + Low Mood.,2026-02-25 21:13:00
57,1,57,,daily,Stress score hari ini sedang. Faktor yang perlu diperhatikan: Low Mood + Sleep Deficit.,2026-02-26 21:51:00
