sleep_hours,physical_activity_minutes,study_hours,screen_time_hours,assignment_load,deadline_pressure,fatigue_level,mood_score,social_media_ratio,study_screen_balance,academic_pressure_index,recovery_index,digital_pressure_index,stress_level
7.23,13.0,1.9299999999999997,5.78,5.0,4.0,7.0,4.0,0.6591695500589672,0.2846607669616519,4.5,3.615,9.59,Medium
7.1,21.0,2.7,7.88,9.0,6.0,5.0,6.0,0.47969543141120613,0.3040540540540541,7.5,7.099999999999999,11.66,Medium
6.56,23.0,3.24,8.65,5.0,5.0,6.0,6.0,0.5526011560054797,0.33575129533678755,5.0,5.622857142857143,13.43,Medium
7.17,36.0,2.37,8.52,6.0,7.0,7.0,3.0,0.6267605633067183,0.24894957983193278,6.5,2.6887499999999998,13.86,Medium
7.6,29.0,5.2,7.43,7.0,9.0,6.0,6.0,0.6487213996435099,0.6168446026097272,8.0,6.514285714285713,12.25,Medium
6.88,29.0,3.94,5.52,6.0,5.0,5.0,6.0,0.7300724636358565,0.6042944785276074,5.5,6.88,9.55,Medium
7.14,20.0,4.82,6.8,7.0,7.0,6.0,4.0,0.5823529410908305,0.617948717948718,7.0,4.08,10.76,Medium
6.55,27.0,3.69,7.91,7.0,4.0,6.0,5.0,0.6826801516203944,0.41414141414141414,5.5,4.678571428571429,13.31,Medium
7.05,34.0,2.68,8.65,9.0,4.0,7.0,7.0,0.5387283236371412,0.277720207253886,6.5,6.16875,13.31,Medium
7.1,30.0,1.5,7.98,9.0,5.0,6.0,6.0,0.49874686710542016,0.1670378619153675,7.0,6.0857142857142845,11.96,Medium
6.38,10.0,3.23,8.17,7.0,7.0,7.0,4.0,0.6340269277069734,0.35223555070883317,7.0,3.19,13.35,Medium
6.61,33.0,5.71,7.98,8.0,8.0,5.0,6.0,0.4260651628538765,0.6358574610244988,8.0,6.61,11.38,Medium
6.91,24.0,3.09,6.62,7.0,8.0,6.0,6.0,0.5498489425151286,0.40551181102362205,7.5,5.922857142857143,10.26,Medium
6.52,23.0,2.78,7.99,7.0,5.0,4.0,5.0,0.5043804755313667,0.30923248053392655,6.0,6.519999999999999,12.02,Medium
7.19,25.0,4.23,6.62,7.0,7.0,7.0,5.0,0.6450151056427469,0.5551181102362205,7.0,4.49375,10.89,Medium
7.41,38.0,4.36,11.36,8.0,6.0,7.0,3.0,0.39964788728876344,0.3527508090614887,7.0,2.7787500000000005,15.899999999999999,Medium
8.93,19.0,1.1799999999999997,8.59,7.0,5.0,4.0,6.0,0.42142025606269845,0.12304483837330549,6.0,10.716,12.21,Medium
7.0,27.0,5.19,8.54,8.0,5.0,6.0,5.0,0.39227166271753267,0.5440251572327045,6.5,5.0,11.889999999999999,Medium
6.76,10.0,3.19,9.27,10.0,8.0,5.0,4.0,0.4778856525913823,0.31061343719571566,9.0,4.506666666666667,13.7,Medium
7.58,12.000000000000002,2.92,7.45,5.0,9.0,4.0,4.0,0.2765100670769785,0.3455621301775148,7.0,6.064,9.51,Medium
7.83,27.0,3.86,6.53,7.0,6.0,5.0,6.0,0.6845329248568861,0.5126162018592297,6.5,7.830000000000001,11.0,Medium
5.8,17.0,3.7,8.1,6.0,6.0,8.0,4.0,0.5370370369707361,0.40659340659340665,6.0,2.5777777777777775,12.45,Medium
7.6,23.0,4.48,6.68,7.0,7.0,7.0,3.0,0.5703592813517426,0.5833333333333334,7.0,2.8499999999999996,10.49,Medium
8.14,25.0,3.87,8.72,6.0,7.0,5.0,5.0,0.6330275228631849,0.39814814814814814,6.5,6.783333333333334,14.24,Medium
6.77,32.0,1.83,9.06,7.0,5.0,6.0,4.0,0.5728476820559771,0.18190854870775347,6.0,3.8685714285714283,14.25,Medium
6.86,28.0,4.26,6.94,6.0,6.0,6.0,3.0,0.9999999998559078,0.5365239294710327,6.0,2.9400000000000004,13.88,Medium
7.27,24.0,5.32,8.36,7.0,6.0,6.0,3.0,0.48684210520492327,0.5683760683760685,6.5,3.1157142857142857,12.43,Medium
7.33,25.0,4.54,7.11,6.0,6.0,6.0,6.0,0.6075949366234044,0.55980271270037,6.0,6.282857142857144,11.43,Medium
7.09,23.0,5.83,10.7,6.0,8.0,7.0,4.0,0.3224299065119225,0.49829059829059835,7.0,3.545,14.149999999999999,Medium
6.15,40.0,4.75,9.0,8.0,6.0,9.0,3.0,0.3455555555171605,0.475,7.0,1.8450000000000002,12.11,Medium
6.88,5.0,4.89,8.46,9.0,9.0,8.0,2.0,0.5768321512320529,0.5169133192389006,9.0,1.528888888888889,13.34,High
6.39,19.0,6.4,9.02,10.0,8.0,9.0,4.0,0.5809312637936884,0.6387225548902197,9.0,2.556,14.26,High
7.21,14.0,3.89,7.32,10.0,9.0,9.0,1.0000000000000004,0.3620218578740407,0.4675480769230769,9.5,0.7210000000000001,9.97,High
6.5,26.0,3.58,8.42,7.0,8.0,6.0,4.0,0.3705463182457784,0.38004246284501064,7.5,3.7142857142857144,11.54,Medium
6.18,11.0,4.86,8.4,10.0,9.0,7.0,4.0,0.3928571428103741,0.5170212765957447,9.5,3.09,11.7,Medium
7.01,0.0,5.12,7.93,10.0,10.0,7.0,4.0,0.47793190410114356,0.5733482642777156,10.0,3.505,11.719999999999999,Medium
6.99,16.0,2.89,5.9,6.0,5.0,8.0,5.0,0.715254237166906,0.41884057971014493,5.5,3.8833333333333337,10.120000000000001,Medium
6.86,22.0,4.57,8.45,5.0,8.0,8.0,2.0,0.4994082839645671,0.48359788359788364,6.5,1.5244444444444443,12.669999999999998,Medium
7.04,28.0,2.1800000000000006,7.96,6.0,5.0,5.0,6.0,0.5188442210403462,0.2433035714285714,5.5,7.04,12.09,Medium
7.56,32.0,2.1800000000000006,8.05,4.0,4.0,6.0,5.0,0.4645962732342116,0.2408839779005525,4.0,5.3999999999999995,11.790000000000001,Medium
7.03,14.0,2.64,6.85,8.0,6.0,7.0,3.0,0.6131386860418776,0.33630573248407647,7.0,2.63625,11.05,Medium
6.55,17.0,4.42,7.3,7.0,8.0,6.0,4.0,0.6041095889583412,0.5325301204819276,7.5,3.742857142857143,11.71,Medium
7.33,35.0,3.43,7.8,8.0,6.0,3.0,4.0,0.7076923076015779,0.38977272727272727,7.0,7.33,13.32,Medium
8.16,0.0,4.17,7.29,8.0,4.0,7.0,5.0,0.6460905348907969,0.503015681544029,6.0,5.1,12.0,Medium
7.54,35.0,3.3,7.45,7.0,6.0,6.0,5.0,0.553020134153957,0.3905325443786982,6.5,5.385714285714286,11.57,Medium
6.79,14.0,2.6,8.28,9.0,7.0,8.0,3.0,0.6231884057218372,0.2801724137931035,8.0,2.2633333333333336,13.44,Medium
7.5,54.0,3.79,7.79,7.0,8.0,6.0,5.0,0.441591784282209,0.43117178612059165,7.5,5.357142857142857,11.23,Medium
7.95,23.0,5.44,7.0,8.0,4.0,7.0,4.0,0.5042857142136734,0.68,6.0,3.975,10.53,Medium
7.61,21.0,3.92,6.22,6.0,4.0,5.0,5.0,0.6784565915307947,0.5429362880886427,5.0,6.341666666666668,10.44,Medium
7.53,11.0,5.7,8.63,7.0,6.0,6.0,5.0,0.46349942057201626,0.5919003115264797,6.5,5.378571428571428,12.63,Medium
7.05,22.0,3.3,6.79,3.0,8.0,7.0,1.0000000000000004,0.6244477171392566,0.4236200256739409,5.5,0.8812500000000001,11.030000000000001,Medium
6.92,40.0,1.94,9.66,5.0,6.0,7.0,3.0,0.5465838508750949,0.18198874296435275,5.5,2.5949999999999998,14.940000000000001,Medium
7.88,12.000000000000002,3.49,7.55,8.0,6.0,6.0,3.0,0.5589403972769615,0.408187134502924,7.0,3.3771428571428572,11.77,Medium
7.75,32.0,3.14,6.1,9.0,3.0,7.0,5.0,0.5180327868003225,0.4422535211267606,6.0,4.84375,9.26,Medium
7.05,20.0,4.95,7.62,7.0,4.0,4.0,6.0,0.5603674539947023,0.574245939675174,5.5,8.459999999999999,11.89,Medium
7.3,13.0,3.31,6.73,4.0,8.0,6.0,4.0,0.6270430905457588,0.4282018111254851,6.0,4.171428571428572,10.95,Medium
5.88,31.0,2.57,6.88,7.0,5.0,6.0,3.0,0.6090116278184576,0.32614213197969544,6.0,2.52,11.07,Medium
7.76,27.0,2.9,10.14,8.0,6.0,6.0,8.0,0.44280078891096636,0.2603231597845601,7.0,8.868571428571428,14.63,Medium
7.4,0.0,4.82,7.28,8.0,8.0,6.0,2.0,0.8035714284610478,0.5821256038647342,8.0,2.1142857142857143,13.129999999999999,Medium
7.83,32.0,3.23,6.57,8.0,8.0,6.0,4.0,0.7488584473746029,0.42668428005284015,8.0,4.474285714285714,11.49,Medium
7.25,24.0,2.57,6.43,7.0,7.0,7.0,3.0,0.7558320372074911,0.3458950201884253,7.0,2.71875,11.29,Medium
