sleep_hours,study_hours,screen_time_hours,social_media_hours,physical_activity_minutes,caffeine_intake_mg,mood_score,fatigue_level,assignment_load,deadline_pressure,social_interaction_score,financial_worry_score,health_condition_score,social_media_ratio,study_screen_balance,academic_pressure_index,recovery_index,digital_pressure_index,emotional_pressure_index,stress_level
7.23,1.9299999999999997,5.78,3.81,13.0,160.0,4.0,7.0,5.0,4.0,6.0,2.0,5.0,0.6591695500589672,0.2846607669616519,4.5,3.615,9.59,13.0,Medium
7.1,2.7,7.88,3.78,21.0,105.0,6.0,5.0,9.0,6.0,4.0,5.0,4.0,0.47969543141120613,0.3040540540540541,7.5,7.099999999999999,11.66,9.0,Medium
6.56,3.24,8.65,4.78,23.0,123.0,6.0,6.0,5.0,5.0,8.0,2.0,6.0,0.5526011560054797,0.33575129533678755,5.0,5.622857142857143,13.43,10.0,Medium
7.17,2.37,8.52,5.34,36.0,91.0,3.0,7.0,6.0,7.0,7.0,3.0,5.0,0.6267605633067183,0.24894957983193278,6.5,2.6887499999999998,13.86,14.0,Medium
7.6,5.2,7.43,4.82,29.0,103.0,6.0,6.0,7.0,9.0,2.0,5.0,6.0,0.6487213996435099,0.6168446026097272,8.0,6.514285714285713,12.25,10.0,Medium
6.88,3.94,5.52,4.03,29.0,230.0,6.0,5.0,6.0,5.0,7.0,3.0,7.0,0.7300724636358565,0.6042944785276074,5.5,6.88,9.55,9.0,Medium
7.14,4.82,6.8,3.96,20.0,156.0,4.0,6.0,7.0,7.0,4.0,4.0,6.0,0.5823529410908305,0.617948717948718,7.0,4.08,10.76,12.0,Medium
6.55,3.69,7.91,5.4,27.0,157.0,5.0,6.0,7.0,4.0,10.0,4.0,6.0,0.6826801516203944,0.41414141414141414,5.5,4.678571428571429,13.31,11.0,Medium
7.05,2.68,8.65,4.66,34.0,87.0,7.0,7.0,9.0,4.0,5.0,3.0,6.0,0.5387283236371412,0.277720207253886,6.5,6.16875,13.31,10.0,Medium
7.1,1.5,7.98,3.98,30.0,86.0,6.0,6.0,9.0,5.0,5.0,5.0,8.0,0.49874686710542016,0.1670378619153675,7.0,6.0857142857142845,11.96,10.0,Medium
6.38,3.23,8.17,5.18,10.0,62.0,4.0,7.0,7.0,7.0,6.0,5.0,6.0,0.6340269277069734,0.35223555070883317,7.0,3.19,13.35,13.0,Medium
6.61,5.71,7.98,3.4,33.0,156.0,6.0,5.0,8.0,8.0,7.0,5.0,8.0,0.4260651628538765,0.6358574610244988,8.0,6.61,11.38,9.0,Medium
6.91,3.09,6.62,3.64,24.0,156.0,6.0,6.0,7.0,8.0,6.0,8.0,7.0,0.5498489425151286,0.40551181102362205,7.5,5.922857142857143,10.26,10.0,Medium
6.52,2.78,7.99,4.03,23.0,170.0,5.0,4.0,7.0,5.0,8.0,5.0,5.0,0.5043804755313667,0.30923248053392655,6.0,6.519999999999999,12.02,9.0,Medium
7.19,4.23,6.62,4.27,25.0,73.0,5.0,7.0,7.0,7.0,4.0,3.0,6.0,0.6450151056427469,0.5551181102362205,7.0,4.49375,10.89,12.0,Medium
7.41,4.36,11.36,4.54,38.0,199.0,3.0,7.0,8.0,6.0,6.0,4.0,6.0,0.39964788728876344,0.3527508090614887,7.0,2.7787500000000005,15.899999999999999,14.0,Medium
8.93,1.1799999999999997,8.59,3.62,19.0,207.0,6.0,4.0,7.0,5.0,6.0,5.0,7.0,0.42142025606269845,0.12304483837330549,6.0,10.716,12.21,8.0,Medium
7.0,5.19,8.54,3.35,27.0,156.0,5.0,6.0,8.0,5.0,8.0,2.0,6.0,0.39227166271753267,0.5440251572327045,6.5,5.0,11.889999999999999,11.0,Medium
6.76,3.19,9.27,4.43,10.0,196.0,4.0,5.0,10.0,8.0,8.0,3.0,7.0,0.4778856525913823,0.31061343719571566,9.0,4.506666666666667,13.7,11.0,Medium
7.58,2.92,7.45,2.06,12.000000000000002,126.0,4.0,4.0,5.0,9.0,7.0,6.0,5.0,0.2765100670769785,0.3455621301775148,7.0,6.064,9.51,10.0,Medium
7.83,3.86,6.53,4.47,27.0,105.0,6.0,5.0,7.0,6.0,9.0,2.0,9.0,0.6845329248568861,0.5126162018592297,6.5,7.830000000000001,11.0,9.0,Medium
5.8,3.7,8.1,4.35,17.0,129.0,4.0,8.0,6.0,6.0,5.0,6.0,6.0,0.5370370369707361,0.40659340659340665,6.0,2.5777777777777775,12.45,14.0,Medium
7.6,4.48,6.68,3.81,23.0,178.0,3.0,7.0,7.0,7.0,7.0,4.0,6.0,0.5703592813517426,0.5833333333333334,7.0,2.8499999999999996,10.49,14.0,Medium
8.14,3.87,8.72,5.52,25.0,182.0,5.0,5.0,6.0,7.0,8.0,3.0,9.0,0.6330275228631849,0.39814814814814814,6.5,6.783333333333334,14.24,10.0,Medium
6.77,1.83,9.06,5.19,32.0,179.0,4.0,6.0,7.0,5.0,9.0,4.0,5.0,0.5728476820559771,0.18190854870775347,6.0,3.8685714285714283,14.25,12.0,Medium
6.86,4.26,6.94,6.94,28.0,156.0,3.0,6.0,6.0,6.0,4.0,3.0,6.0,0.9999999998559078,0.5365239294710327,6.0,2.9400000000000004,13.88,13.0,Medium
7.27,5.32,8.36,4.07,24.0,81.0,3.0,6.0,7.0,6.0,7.0,7.0,6.0,0.48684210520492327,0.5683760683760685,6.5,3.1157142857142857,12.43,13.0,Medium
7.33,4.54,7.11,4.32,25.0,147.0,6.0,6.0,6.0,6.0,8.0,7.0,5.0,0.6075949366234044,0.55980271270037,6.0,6.282857142857144,11.43,10.0,Medium
7.09,5.83,10.7,3.45,23.0,165.0,4.0,7.0,6.0,8.0,6.0,7.0,7.0,0.3224299065119225,0.49829059829059835,7.0,3.545,14.149999999999999,13.0,Medium
6.15,4.75,9.0,3.11,40.0,272.0,3.0,9.0,8.0,6.0,8.0,2.0,5.0,0.3455555555171605,0.475,7.0,1.8450000000000002,12.11,16.0,Medium
6.88,4.89,8.46,4.88,5.0,193.0,2.0,8.0,9.0,9.0,4.0,6.0,6.0,0.5768321512320529,0.5169133192389006,9.0,1.528888888888889,13.34,16.0,High
6.39,6.4,9.02,5.24,19.0,325.0,4.0,9.0,10.0,8.0,9.0,3.0,6.0,0.5809312637936884,0.6387225548902197,9.0,2.556,14.26,15.0,High
7.21,3.89,7.32,2.65,14.0,244.0,1.0000000000000004,9.0,10.0,9.0,3.0,4.0,6.0,0.3620218578740407,0.4675480769230769,9.5,0.7210000000000001,9.97,18.0,High
6.5,3.58,8.42,3.12,26.0,223.0,4.0,6.0,7.0,8.0,7.0,3.0,7.0,0.3705463182457784,0.38004246284501064,7.5,3.7142857142857144,11.54,12.0,Medium
6.18,4.86,8.4,3.3,11.0,129.0,4.0,7.0,10.0,9.0,6.0,4.0,6.0,0.3928571428103741,0.5170212765957447,9.5,3.09,11.7,13.0,Medium
7.01,5.12,7.93,3.79,0.0,110.0,4.0,7.0,10.0,10.0,6.0,9.0,7.0,0.47793190410114356,0.5733482642777156,10.0,3.505,11.719999999999999,13.0,Medium
